Company,TypeName,Inches,Ram,OpSys,Weight,SSD,HDD,Flash,Hybrid,Cpu_Brand,Cpu_Model,Cpu_ClockSpeed,Gpu_Brand,Gpu_Series,Gpu_Model,ScreenType,ScreenWidth,Touchscreen,Price
Apple,Ultrabook,13.3,8,macOS,1.37,128,0,0,0,Intel,Other,2.3,Intel,Iris,Other,IPS Display,2560,False,71378.6832
Apple,Ultrabook,13.3,8,macOS,1.34,0,0,128,0,Intel,Other,1.8,Intel,HD,Other,Other,1440,False,47895.5232
HP,Notebook,15.6,8,No OS,1.86,256,0,0,0,Intel,Core i5,2.5,Intel,HD,Graphics 620,Standard Display,1920,False,30636.0
Apple,Ultrabook,15.4,16,macOS,1.83,512,0,0,0,Intel,Other,2.7,AMD,Radeon,Other,IPS Display,2880,False,135195.33599999998
Apple,Ultrabook,13.3,8,macOS,1.37,256,0,0,0,Intel,Other,3.1,Intel,Iris,Other,IPS Display,2560,False,96095.808
Acer,Notebook,15.6,4,Windows,2.1,0,500,0,0,AMD,Other,3.0,AMD,Radeon,R5,Other,1366,False,21312.0
Apple,Ultrabook,15.4,16,macOS,2.04,0,0,256,0,Intel,Other,2.2,Intel,Iris,Other,IPS Display,2880,False,114017.6016
Apple,Ultrabook,13.3,8,macOS,1.34,0,0,256,0,Intel,Other,1.8,Intel,HD,Other,Other,1440,False,61735.536
Asus,Ultrabook,14.0,16,Windows,1.3,512,0,0,0,Intel,Core i7,1.8,Nvidia,GeForce,MX150,Standard Display,1920,False,79653.59999999999
Acer,Ultrabook,14.0,8,Windows,1.6,256,0,0,0,Intel,Core i5,1.6,Intel,UHD,Graphics 620,IPS Display,1920,False,41025.6
HP,Notebook,15.6,4,No OS,1.86,0,500,0,0,Intel,Core i5,2.5,Intel,HD,Graphics 620,Other,1366,False,20986.992
HP,Notebook,15.6,4,No OS,1.86,0,500,0,0,Intel,Core i3,2.0,Intel,HD,Graphics 520,Standard Display,1920,False,18381.0672
Apple,Ultrabook,15.4,16,macOS,1.83,256,0,0,0,Intel,Other,2.8,AMD,Radeon,Other,IPS Display,2880,False,130001.6016
Dell,Notebook,15.6,4,Windows,2.2,256,0,0,0,Intel,Core i3,2.0,AMD,Radeon,R5 M430,Standard Display,1920,False,26581.392
Apple,Ultrabook,12.0,8,macOS,0.92,256,0,0,0,Intel,Other,1.2,Intel,HD,Graphics 615,IPS Display,2304,False,67260.672
Apple,Ultrabook,13.3,8,macOS,1.37,256,0,0,0,Intel,Other,2.3,Intel,Iris,Other,IPS Display,2560,False,80908.344
Dell,Notebook,15.6,8,Windows,2.2,256,0,0,0,Intel,Core i7,2.7,AMD,Radeon,R5 M430,Standard Display,1920,False,39693.6
Apple,Ultrabook,15.4,16,macOS,1.83,512,0,0,0,Intel,Other,2.9,AMD,Radeon,Other,IPS Display,2880,False,152274.24
Lenovo,Notebook,15.6,8,No OS,2.2,0,1024,0,0,Intel,Core i3,2.4,Nvidia,GeForce,940MX,Standard Display,1920,False,26586.72
Dell,Ultrabook,13.3,8,Windows,1.22,128,0,0,0,Intel,Core i5,1.6,Intel,UHD,Graphics 620,IPS Display,1920,True,52161.12
Asus,Netbook,11.6,2,Windows,0.98,0,0,32,0,Intel,Other,1.44,Intel,HD,Graphics 400,Other,1366,False,10224.432
Lenovo,Gaming,15.6,8,Windows,2.5,128,1024,0,0,Intel,Core i5,2.5,Nvidia,GeForce,GTX 1050,IPS Display,1920,False,53226.72
HP,Notebook,15.6,4,No OS,1.86,0,500,0,0,AMD,Other,1.5,AMD,Radeon,Other,Other,1366,False,13746.24
Dell,2 in 1 Convertible,13.3,8,Windows,1.62,256,0,0,0,Intel,Core i5,1.6,Intel,UHD,Graphics 620,Standard Display,1920,True,43636.32
HP,Ultrabook,15.6,8,Windows,1.91,256,0,0,0,Intel,Core i7,1.8,Intel,HD,Graphics 620,Standard Display,1920,False,35111.52
Dell,Notebook,15.6,4,Windows,2.3,0,1024,0,0,Intel,Core i3,2.0,Intel,HD,Graphics 520,Other,1366,False,22305.1392
Apple,Ultrabook,13.3,8,macOS,1.35,0,0,128,0,Intel,Other,1.6,Intel,HD,Other,Other,1440,False,58554.72
Dell,Notebook,15.6,8,Windows,2.2,256,0,0,0,Intel,Core i5,1.6,AMD,Radeon,530,Standard Display,1920,False,42624.0
Dell,Ultrabook,15.6,8,Windows,1.88,256,0,0,0,Intel,Core i7,1.9,Intel,UHD,Graphics 620,Standard Display,1920,False,69157.44
HP,Notebook,17.3,8,Windows,2.5,0,1024,0,0,Intel,Core i5,1.6,Nvidia,GeForce,930MX,Standard Display,1920,False,47738.88
Chuwi,Notebook,15.6,4,Windows,1.89,0,0,64,0,Intel,Other,1.44,Intel,HD,Graphics,Standard Display,1920,False,13053.0672
Asus,Notebook,14.0,2,Windows,1.65,0,0,32,0,AMD,Other,1.5,AMD,Radeon,Other,Other,1366,False,10602.72
HP,Notebook,17.3,4,Windows,2.71,0,500,0,0,AMD,Other,2.5,AMD,Radeon,530,Standard Display,1920,False,23389.92
Dell,Ultrabook,13.3,16,Windows,1.2,512,0,0,0,Intel,Core i7,1.8,Intel,UHD,Graphics 620,Touchscreen Display,3200,True,99580.32
